peft_method,setting_value,n_models,mean_delta_safe_ratio,mean_delta_accuracy_ambig,mean_delta_accuracy_disambig,mean_delta_bias_score_amb_abs,mean_delta_bias_score_dis_abs
lora,r4,4,4.925151515833335,-0.05899890820525735,0.002257075669774042,0.006854754956027266,6.7407198978752054e-06
lora,r8,4,6.085555556237377,-0.07412656420592928,-0.07291929117325946,-0.017298412810208635,0.024476703160564106
lora,r16,4,7.095656566338384,-0.06045813387083229,-0.08105526161081722,-0.017895115720098907,0.026404102970256027
prompt,v20,3,-6.262020201111112,-0.09354441365023376,-0.12466056381400294,-0.04027218759570465,-0.0011241740913988678
prompt,v50,4,-8.156868686186865,-0.2665868816662468,-0.13491013689426384,-0.02083965062568024,0.018639250762056157
prompt,v100,4,-13.156868686186865,-0.32802133198958594,-0.24330225917527507,-0.060977714623738515,0.0032866281229148968
ptuning,v20,4,-15.2531818175,-0.21551398337112623,-0.0958259847148736,-0.0015352436908862973,0.02099693052259604
ptuning,v50,4,2.2724242431060553,-0.24007936507936511,-0.1925233056185437,-0.02718860110323057,0.03100402554761609
ptuning,v100,4,2.550202020883834,-0.22258965314520873,-0.1807655160829764,-0.029713269288793174,0.03234962724752146
