setting,setting_label,round,model,n,gpt_safe,gpt_unsafe,llamaguard_safe,llamaguard_unsafe,gpt_unsafe_rate,llamaguard_unsafe_rate,agreement,cohens_kappa,lg_safe_agreement,lg_unsafe_agreement,specific_safe_agreement,specific_unsafe_agreement,safe_safe,safe_unsafe,unsafe_safe,unsafe_unsafe,input_tokens,output_tokens,estimated_cost_usd
original_prompt,Prompt Tuning,Round2,mistral,330,114,216,137,193,0.6545454545454545,0.5848484848484848,0.8515151515151516,0.6865914641237354,0.7372262773722628,0.9326424870466321,0.8047808764940239,0.8801955990220048,101,36,13,180,217001,20101,0.59481
original_prompt,Prompt Tuning,Round2,llama,330,261,69,232,98,0.20909090909090908,0.296969696969697,0.7666666666666667,0.3889770595873612,0.896551724137931,0.45918367346938777,0.8438133874239351,0.5389221556886228,208,24,53,45,192052,16975,0.519904
original_prompt,Prompt Tuning,Round2,gemma,330,294,36,294,36,0.10909090909090909,0.10909090909090909,0.9272727272727272,0.6258503401360545,0.9591836734693877,0.6666666666666666,0.9591836734693877,0.6666666666666666,282,12,12,24,150403,16069,0.429358
original_prompt,Prompt Tuning,Round3,qwen,330,276,54,276,54,0.16363636363636364,0.16363636363636364,0.8787878787878788,0.5571658615136877,0.927536231884058,0.6296296296296297,0.927536231884058,0.6296296296296297,256,20,20,34,197755,17470,0.53527
original_prompt,Prompt Tuning,Round3,mistral,330,129,201,159,171,0.6090909090909091,0.5181818181818182,0.8181818181818182,0.6334555148283906,0.7169811320754716,0.9122807017543859,0.7916666666666666,0.8387096774193549,114,45,15,156,210517,19695,0.578594
original_prompt,Prompt Tuning,Round3,llama,330,247,82,243,86,0.24848484848484848,0.2606060606060606,0.8757575757575757,0.6803342401865525,0.9259259259259259,0.7441860465116279,0.9183673469387755,0.7619047619047619,225,18,22,64,148193,16757,0.430442
original_prompt,Prompt Tuning,Round3,gemma,330,252,78,245,85,0.23636363636363636,0.25757575757575757,0.8878787878787879,0.6987416728349373,0.9387755102040817,0.7411764705882353,0.9255533199195171,0.7730061349693251,230,15,22,63,172910,17074,0.482412
original_ptuning,P-Tuning,Round1,qwen,330,258,72,262,68,0.21818181818181817,0.20606060606060606,0.9151515151515152,0.7462096242584048,0.9389312977099237,0.8235294117647058,0.9461538461538461,0.8,246,16,12,56,169007,17162,0.47531
original_ptuning,P-Tuning,Round1,mistral,330,132,198,42,288,0.6,0.8727272727272727,0.593939393939394,0.04558404558404587,0.47619047619047616,0.6111111111111112,0.22988505747126436,0.7242798353909465,20,22,112,176,156622,19017,0.46538
original_ptuning,P-Tuning,Round1,llama,330,307,23,310,20,0.0696969696969697,0.06060606060606061,0.9666666666666667,0.7264506405425775,0.9774193548387097,0.8,0.9821717990275527,0.7441860465116279,303,7,4,16,132441,15314,0.387394
original_ptuning,P-Tuning,Round1,gemma,330,252,78,247,83,0.23636363636363636,0.2515151515151515,0.9242424242424242,0.7946841869493803,0.9595141700404858,0.8192771084337349,0.9498997995991983,0.84472049689441,237,10,15,68,174911,16986,0.48571
original_ptuning,P-Tuning,Round2,qwen,330,167,163,166,164,0.49393939393939396,0.49696969696969695,0.8878787878787879,0.7757411012746576,0.891566265060241,0.8841463414634146,0.8888888888888888,0.8868501529051988,148,18,19,145,199639,18580,0.547918
original_ptuning,P-Tuning,Round2,mistral,330,99,231,111,219,0.7,0.6636363636363637,0.9030303030303031,0.7768479776847979,0.8018018018018018,0.954337899543379,0.8476190476190476,0.9288888888888889,89,22,10,209,210810,19969,0.581372
original_ptuning,P-Tuning,Round2,llama,330,297,33,296,34,0.1,0.10303030303030303,0.9484848484848485,0.7176079734219271,0.972972972972973,0.7352941176470589,0.9713322091062394,0.746268656716418,288,8,9,25,137921,15640,0.400962
original_ptuning,P-Tuning,Round2,gemma,330,255,75,248,82,0.22727272727272727,0.24848484848484848,0.8939393939393939,0.7076689445709947,0.9435483870967742,0.7439024390243902,0.9304174950298211,0.7770700636942676,234,14,21,61,171454,16964,0.47862
original_ptuning,P-Tuning,Round3,qwen,330,237,93,237,93,0.2818181818181818,0.2818181818181818,0.896969696969697,0.7454743432693617,0.9282700421940928,0.8172043010752689,0.9282700421940928,0.8172043010752689,220,17,17,76,176593,17477,0.493002
original_ptuning,P-Tuning,Round3,mistral,330,136,194,165,165,0.5878787878787879,0.5,0.8393939393939394,0.6787878787878787,0.7515151515151515,0.9272727272727272,0.8239202657807309,0.8523676880222841,124,41,12,153,204889,19416,0.565106
original_ptuning,P-Tuning,Round3,llama,330,299,31,300,30,0.09393939393939393,0.09090909090909091,0.9606060606060606,0.7651888341543515,0.9766666666666667,0.8,0.9782971619365609,0.7868852459016393,293,7,6,24,138029,15546,0.400426
original_ptuning,P-Tuning,Round3,gemma,330,234,96,224,106,0.2909090909090909,0.3212121212121212,0.9030303030303031,0.7719616480953616,0.9508928571428571,0.8018867924528302,0.9301310043668122,0.8415841584158416,213,11,21,85,183207,17535,0.506694
