setting,setting_label,units,n_total,gpt_unsafe,llamaguard_unsafe,input_tokens,output_tokens,estimated_cost_usd,mean_gpt_unsafe_rate,sem_gpt_unsafe_rate,mean_llamaguard_unsafe_rate,sem_llamaguard_unsafe_rate,mean_agreement,sem_agreement,mean_cohens_kappa,sem_cohens_kappa,mean_lg_safe_agreement,sem_lg_safe_agreement,mean_lg_unsafe_agreement,sem_lg_unsafe_agreement,mean_specific_safe_agreement,sem_specific_safe_agreement,mean_specific_unsafe_agreement,sem_specific_unsafe_agreement
lora_r8,LoRA (r=8),12,3960,560.0,500.0,2274050.0,202720.0,6.16986,0.1414141414141414,0.028751205032469834,0.12626262626262627,0.02350323144782527,0.9305555555555556,0.01087139142839386,0.6709140466996292,0.01806895944019294,0.9486704021056502,0.011121371592754507,0.7501960562704519,0.03247027191086932,0.957600762360628,0.0075731627739634945,0.7129660033127987,0.02058700965560391
original_ia3,IA3,12,3960,834.0,705.0,2119551.0,205857.0,5.885958,0.2106060606060606,0.059450063436253,0.17803030303030304,0.043770653797325684,0.9002525252525253,0.021002699436179547,0.6385972729995248,0.0207332099720127,0.9006126710255052,0.03276347938695095,0.7378613126931071,0.029544288053615784,0.9228502864445272,0.021840629858532856,0.713993854468697,0.01849124043124321
original_lora,LoRA,12,3960,624.0,547.0,2026808.0,201728.0,5.66744,0.1575757575757576,0.0374159045373302,0.13813131313131313,0.026787485956397062,0.9179292929292929,0.015923660010254453,0.6527909185729909,0.017280368821149524,0.9348106077486893,0.018838178944032405,0.7168560331918188,0.02842998594911604,0.9467942279206838,0.012281968607131315,0.7051475580119232,0.01694874698118082
original_prompt,Prompt Tuning,12,3960,1129.0,1141.0,2239257.0,211507.0,6.17057,0.2851010101010101,0.06086430098637093,0.2881313131313131,0.048504154692344266,0.8598484848484849,0.015124516809131005,0.5880010886881855,0.042409362951169885,0.8852337045954503,0.026887948686776054,0.6947203204263469,0.058923220343381835,0.8888977070758981,0.01780170177023512,0.6943912898779578,0.04585030963800664
original_ptuning,P-Tuning,12,3960,1287.0,1352.0,2055523.0,209606.0,5.787894,0.325,0.06245807230992607,0.3414141414141414,0.07139830041096253,0.8861111111111111,0.028408300162446755,0.687683933216145,0.059173421860114844,0.8807741202691795,0.04214698081803554,0.8098301874823851,0.026137332247520916,0.8672488847645046,0.05967469610812745,0.8125254612013992,0.017725549342777577
