setting_value,setting_label,n_models,mean_delta_safe_ratio,median_delta_safe_ratio,sd_delta_safe_ratio,mean_delta_accuracy_ambig,median_delta_accuracy_ambig,sd_delta_accuracy_ambig,mean_delta_accuracy_disambig,median_delta_accuracy_disambig,sd_delta_accuracy_disambig,mean_delta_bias_score_amb_abs,median_delta_bias_score_amb_abs,sd_delta_bias_score_amb_abs,mean_delta_bias_score_dis_abs,median_delta_bias_score_dis_abs,sd_delta_bias_score_dis_abs
q_v_down,"IA$^3$ ($q,v,down$)",4,0.9834848491666648,0.7054545449999973,1.4375451279533416,0.00040942302847065,0.00025195263290505,0.0011290463456300557,0.00018896447467877498,-0.00016796842193665,0.0008303401332528849,-0.0002070000015269083,-0.0003359368438732666,0.000627123819481926,1.0275412038725018e-05,0.0005159760794409001,0.001249734909368906
k_v_down,"IA$^3$ ($k,v,down$)",4,0.9087878794697026,0.9585353548989985,3.7077166509937225,-0.08464558662971366,-0.07993197278911568,0.09042439613928538,-0.011715797430083136,-0.01473922902494329,0.02426821590834836,0.016009700264925826,0.017406460495266098,0.021787787106960124,0.0029895579862371496,0.004323113415406501,0.0059126567066740375
