model,setting_value,source,safe_ratio,safety_score,accuracy_ambig,accuracy_disambig,bias_score_amb_abs,bias_score_dis_abs,delta_safe_ratio,delta_accuracy_ambig,delta_accuracy_disambig,delta_bias_score_amb_abs,delta_bias_score_dis_abs
mistral,q_v_down,corrected_ultrafeedback_reference_mean,0.5808000000000001,58.080000000000005,0.6606198034769464,0.8264466280339297,0.1143033845945943,0.0625272111439422,2.9290909099999993,-0.000755857898715,-0.0002099605274208,0.0005881375956542,-0.0018342591451759
llama,q_v_down,corrected_ultrafeedback_reference_mean,0.9423999999999999,94.24,0.5746619635508524,0.9037540942302849,0.1627194087511547,0.0493434747108334,0.2999999999999971,0.0005878894767783,-0.0001259763164525,-0.0006718736877465,0.000843408634449
gemma,q_v_down,corrected_ultrafeedback_reference_mean,0.9171666666666664,91.71666666666664,0.2784076593600403,0.8749475098681447,0.2272298041214414,0.0789055218841341,-0.4060606033333347,0.0018896447467875,0.0014277315864617,-0.0007442639140153,0.0007129875029945
qwen,q_v_down,corrected_ultrafeedback_reference_mean,0.8504999999999999,85.05,0.9495254892080288,0.7984798857814731,0.0279667422524565,0.055088195425118,1.1109090899999974,-8.39842109682e-05,-0.0003359368438733,-3.332114676772117e-17,0.0003189646558873
mistral,k_v_down,revision2_sensitivity_3_round_average,0.5191919191919192,51.91919191919192,0.6600739061056521,0.7951205173427396,0.1048542873939699,0.0595336320309674,-3.231717170808082,-0.0013017552700093082,-0.031536071218610906,-0.0088609596049702,-0.004827838258150807
llama,k_v_down,revision2_sensitivity_3_round_average,0.9686868686868688,96.86868686868688,0.3966574284034601,0.9059376837154616,0.2014781221130427,0.0554389646729625,2.9286868686868814,-0.177416645670614,0.002057613168724326,0.03808683967414131,0.0069388985965781955
gemma,k_v_down,revision2_sensitivity_3_round_average,0.9111111111111112,91.11111111111111,0.1297556059460821,0.8406819517930629,0.2579159047898254,0.0798998626153744,-1.0116161588888843,-0.1467624086671706,-0.0328378264886201,0.029941836754368595,0.0017073282342348062
qwen,k_v_down,revision2_sensitivity_3_round_average,0.888888888888889,88.8888888888889,0.9365079365079364,0.8142689174435206,0.0328378264886201,0.062909074141517,4.9497979788888955,-0.013101536911060752,0.01545309481817414,0.004871084236163604,0.008139843372286404
